,name,lng,lat,diet,period,type,length
8813,Megalosaurus,5.97,47.285,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
8816,Deinonychus,-76.868477,39.070869,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
8837,Psittacosaurus,107.262779,38.927502,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
8844,Pachycephalosaurus,-104.917351,45.103661,herbivorous,Late Cretaceous 76-65 million years ago,euornithopod,8.0
9059,Camarasaurus,-110.687622,39.32399,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
9066,Megalosaurus,0.514167,50.900276,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
9067,Iguanodon,0.514167,50.900276,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
9068,Megalosaurus,-0.796329,54.134842,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
9069,Megalosaurus,-1.323881,51.700703,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
9071,Iguanodon,0.2,52.116699,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
9073,Megalosaurus,0.2,52.116699,carnivorous,Mid Jurassic 170-155 million years ago,large theropod,9.0
9087,Iguanodon,-2.246667,50.623333,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
9145,Psittacosaurus,120.913269,41.603352,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
9202,Maiasaura,-112.276108,47.990002,herbivorous,Late Cretaceous 80-75 million years ago,euornithopod,9.0
9204,Psittacosaurus,102.933296,16.383329,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
9341,Troodon,-119.108101,55.0639,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
9374,Iguanodon,0.4425,50.859444,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
9396,Brachiosaurus,-109.223335,40.405556,herbivorous,Late Jurassic 155-140 million years ago,sauropod,30.0
9414,Microraptor,120.427139,43.636063,carnivorous,Early Cretaceous 125-122 million years ago,small theropod,0.8
9436,Troodon,-109.814911,48.53841,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
9437,Troodon,-112.664299,47.8214,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
9441,Psittacosaurus,104.065002,40.994999,herbivorous,Early Cretaceous 120-100 million years ago,ceratopsian,2.0
9449,Triceratops,-108.066399,36.343899,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
9450,Triceratops,-108.066399,36.343899,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
9453,Triceratops,-103.560928,45.713463,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
9454,Troodon,-151.51944,69.832222,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
9522,Spinosaurus,29.290556,25.617779,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
9523,Carcharodontosaurus,29.290556,25.617779,carnivorous,Late Cretaceous 98-94 million years ago,large theropod,15.0
9524,Spinosaurus,29.519444,25.493055,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
9532,Microraptor,120.158333,41.572224,carnivorous,Early Cretaceous 125-122 million years ago,small theropod,0.8
9572,Triceratops,-105.300003,45.383331,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
9691,Troodon,-104.637001,43.116329,carnivorous,Late Cretaceous 74-65 million years ago,small theropod,2.0
9694,Triceratops,-107.115555,47.546665,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
9756,Deinonychus,-107.893501,44.6586,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
9849,Camarasaurus,-109.337975,38.38448,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
10028,Triceratops,-106.186111,47.62389,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
10029,Triceratops,-106.099998,47.799999,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
10030,Triceratops,-106.194725,47.555279,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
10222,Iguanodon,9.110278,52.260555,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
10247,Allosaurus,-106.920998,35.563457,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
10252,Iguanodon,22.4,46.950001,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
10253,Iguanodon,22.4,46.950001,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
10254,Deinonychus,-108.811302,45.2262,carnivorous,Early Cretaceous 120-110 million years ago,small theropod,3.0
10255,Iguanodon,-1.440833,52.72139,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
10349,Brachiosaurus,39.223057,-9.70583,herbivorous,Late Jurassic 155-140 million years ago,sauropod,30.0
10561,Triceratops,-108.400002,49.299999,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
10601,Triceratops,-103.900002,45.833332,herbivorous,Late Cretaceous 68-66 million years ago,ceratopsian,9.0
10993,Spinosaurus,-4.2,31.57,carnivorous,Late Cretaceous 95-70 million years ago,large theropod,18.0
